Step,Stage,Status,Completion Date
Register Business Entity,Foundation,Pending,N/A
Obtain EIN,Foundation,Pending,N/A
Open Business Bank Account,Foundation,Pending,N/A
Get DUNS Number,Foundation,Pending,N/A
Set Up Business Credit File,Building,Pending,N/A
Apply for Net 30 Accounts,Building,Pending,N/A
Get Business Phone & Website,Building,Pending,N/A
Apply for Business Credit Card,Scaling,Pending,N/A
Establish Trade Lines,Scaling,Pending,N/A
Monitor Credit Reports,Advanced,Pending,N/A
Apply for Credit Line Increase,Advanced,Pending,N/A
